Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00110280922060463,-1.98703837603579E-05,0.0390910140862879,0,0,0,0.766851050223607,0.00181952459266476,4.67099257515186E-07,2.90512573822123E-05,0.00175770181428764,-1.79295513788839E-07,0.00301277451685566,0,0,0,0,0,0,package://Arm/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Arm/meshes/base_link.STL,,base-1;PA100-20-10-SY-LTE-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,3.99351013802069E-05,2.96986005834421E-07,0.0979878098842335,0,0,0,2.22318567608355,0.0105769901062,-1.03095907575652E-06,9.30832684723884E-05,0.0112071774977816,-1.49157928809528E-08,0.00659269034666982,0,0,0,0,0,0,package://Arm/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Arm/meshes/link1.STL,,link1_v2-1;PA100-20-18-608(LTE)-1;motor2Shell-1;NSK_6813zz-1,joint1_coor,joint1_axis,joint1,revolute,0,0,0.067,0,0,1.5708,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
link2,7.0267104462189E-11,0.0426351402886548,-0.0482569721337471,0,0,0,1.25469347638256,0.00681707376598388,-9.55906063830608E-12,5.05760324883225E-11,0.00391273673603705,0.000445604816093975,0.0049573253595571,0,0,0,0,0,0,package://Arm/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Arm/meshes/link2.STL,,link2_v2-1;motor2BearingFixer-1;motor2Shaft-1;A075_fixer_link2-2;A075_fixer_link2-3,joint2_coor,joint2_axis,joint2,revolute,0.0377,0,0.145,1.5708,0,1.5708,link1,0,0,-1,100,100,-2.3,2.3,,,,,,,,
link2_sensor1_link,-0.000228568543839791,7.19703164023121E-07,0.0112564931324916,0,0,0,0.0280853097776281,4.32261598928483E-06,3.04829332274897E-08,1.61957363513343E-08,4.26727737514081E-06,1.00050856908848E-11,6.1259453751771E-06,0,0,0,0,0,0,package://Arm/meshes/link2_sensor1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm/meshes/link2_sensor1_link.STL,,MaixSense_A075V_simplified.SLDASM-1,link2_cam1_coor,link2_cam1_axis,link2_sensor1_joint,fixed,-0.017,0.109,-0.0377,1.5708,0,-1.5708,link2,0,0,0,,,,,,,,,,,,
link2_sensor1_camera_link,-1.69829428298129E-15,-0.0110000000000001,-0.0795000000000007,0,0,0,6.36172512351934E-05,3.27363771981099E-10,1.93870456067121E-27,-6.76824914093002E-25,3.27363771981099E-10,5.33929441248022E-25,6.44124668756333E-10,0,0,0,0,0,0,package://Arm/meshes/link2_sensor1_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm/meshes/link2_sensor1_camera_link.STL,,camera_tof-2,link2_cam1_rgb_coor,link2_cam1_rgb_axis,link2_sensor1_camera_joint,fixed,-0.0055,0.0055,-0.057,-3.1416,0,-1.5708,link2_sensor1_link,0,0,0,,,,,,,,,,,,
link2_sensor1_tof_link,-1.76594849854439E-15,0.011,-0.0795000000000007,0,0,0,6.36172512351934E-05,3.27363771981099E-10,1.93870456067121E-27,-6.76824914093002E-25,3.27363771981099E-10,5.33929441248022E-25,6.44124668756333E-10,0,0,0,0,0,0,package://Arm/meshes/link2_sensor1_tof_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm/meshes/link2_sensor1_tof_link.STL,,camera_tof-1,link2_cam1_tof_coor,link2_cam1_tof_axis,link2_sensor1_tof_joint,fixed,0.0055,-0.0055,-0.057,-3.1416,0,-1.5708,link2_sensor1_link,0,0,0,,,,,,,,,,,,
link2_sensor2_link,-0.000228568543839958,7.19703164025057E-07,0.0112564931324908,0,0,0,0.0280853097776282,4.32261598928483E-06,3.0482933227488E-08,1.61957363513346E-08,4.26727737514082E-06,1.00050856903394E-11,6.12594537517711E-06,0,0,0,0,0,0,package://Arm/meshes/link2_sensor2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm/meshes/link2_sensor2_link.STL,,MaixSense_A075V_simplified.SLDASM-2,link2_cam2_coor,link2_cam2_axis,link2_sensor2_joint,fixed,0.017,0.109,-0.0377,-1.5708,0,-1.5708,link2,0,0,0,,,,,,,,,,,,
link2_sensor2_camera_link,-6.93889390390723E-17,-0.011,-0.0795000000000007,0,0,0,6.36172512351934E-05,3.27363771981099E-10,-8.43471116152968E-27,6.78108932832103E-25,3.27363771981099E-10,5.81651271751732E-25,6.44124668756333E-10,0,0,0,0,0,0,package://Arm/meshes/link2_sensor2_camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm/meshes/link2_sensor2_camera_link.STL,,camera_tof-4,link2_cam2_rgb_coor,link2_cam2_rgb_axis,link2_sensor2_camera_joint,fixed,-0.0055,0.0055,-0.057,-3.1416,0,-1.5708,link2_sensor2_link,0,0,0,,,,,,,,,,,,
link2_sensor2_tof_link,-7.54604712049911E-17,0.0110000000000001,-0.0795000000000007,0,0,0,6.36172512351934E-05,3.27363771981099E-10,-1.40959977432119E-26,6.72731604947771E-25,3.27363771981099E-10,5.706961220746E-25,6.44124668756333E-10,0,0,0,0,0,0,package://Arm/meshes/link2_sensor2_tof_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm/meshes/link2_sensor2_tof_link.STL,,camera_tof-3,link2_cam2_tof_coor,link2_cam2_tof_axis,link2_sensor2_tof_joint,fixed,0.0055,-0.0055,-0.057,-3.1416,0,-1.5708,link2_sensor2_link,0,0,0,,,,,,,,,,,,
link3,0.0382053785934683,2.69362486658603E-05,-0.116767542432942,0,0,0,0.582589401925533,0.00217499498948574,-9.02828549174084E-08,0.000251445351988843,0.00207203135682847,2.44720534552928E-07,0.000663505488104309,0,0,0,0,0,0,package://Arm/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Arm/meshes/link3.STL,,PA81-18-25.7751-金刚-1;link3-1;A075_fixer_link3-1;A075_fixer_link3_converter-2;A075_fixer_link3_converter-1;M4_45_6-4;M4_45_6-2;M4_45_6-3;M4_45_6-1;A075_fixer_link3-2,joint3_coor,joint3_axis,joint3,revolute,0,0.142,-0.0377,1.5708,-1.5708,0,link2,0,0,1,100,100,-3.14,3.14,,,,,,,,
